datetime,open,high,low,close
2021-01-01 00:00:00,1.344655,1.344655,1.344655,1.344655
2021-01-01 04:00:00,1.344655,1.344655,1.344655,1.344655
2021-01-01 08:00:00,1.344655,1.344655,1.344655,1.344655
2021-01-01 12:00:00,1.344655,1.344655,1.344655,1.344655
2021-01-01 16:00:00,1.344655,1.344655,1.344655,1.344655
2021-01-01 20:00:00,1.344655,1.344655,1.344655,1.344655
2021-01-03 20:00:00,1.36579,1.36835,1.36558,1.36809
2021-01-04 00:00:00,1.36821,1.3696,1.366,1.36952
2021-01-04 04:00:00,1.36958,1.37024,1.36686,1.36879
2021-01-04 08:00:00,1.36815,1.37026,1.36647,1.36702
2021-01-04 12:00:00,1.36703,1.38398,1.3562,1.35766
2021-01-04 16:00:00,1.35766,1.35942,1.35421,1.35675
2021-01-04 20:00:00,1.35667,1.36397,1.334765,1.35713
2021-01-05 00:00:00,1.35712,1.3595,1.35624,1.35858
2021-01-05 04:00:00,1.35856,1.36107,1.35626,1.35704
2021-01-05 08:00:00,1.35714,1.36072,1.3555,1.35924
2021-01-05 12:00:00,1.35905,1.3604,1.35607,1.35941
2021-01-05 16:00:00,1.3593,1.36411,1.3593,1.36282
2021-01-05 20:00:00,1.36289,1.36337,1.3375,1.36271
2021-01-06 00:00:00,1.36271,1.36449,1.35927,1.36008
2021-01-06 04:00:00,1.3601,1.36585,1.36008,1.36585
2021-01-06 08:00:00,1.36577,1.36708,1.36209,1.36494
2021-01-06 12:00:00,1.36481,1.36536,1.35397,1.35503
2021-01-06 16:00:00,1.35503,1.36199,1.35421,1.36012
2021-01-06 20:00:00,1.35992,1.36274,1.33656,1.3624
2021-01-07 00:00:00,1.36241,1.36333,1.35732,1.36016
2021-01-07 04:00:00,1.36016,1.36094,1.35656,1.35813
2021-01-07 08:00:00,1.35811,1.3625,1.3563,1.35682
2021-01-07 12:00:00,1.35682,1.36132,1.35398,1.35467
2021-01-07 16:00:00,1.3549,1.35776,1.35334,1.35709
2021-01-07 20:00:00,1.35712,1.35727,1.33442,1.3569
2021-01-08 00:00:00,1.35677,1.35721,1.35395,1.35627
2021-01-08 04:00:00,1.35627,1.35879,1.35564,1.3578
2021-01-08 08:00:00,1.35777,1.3604,1.3559,1.35932
2021-01-08 12:00:00,1.35932,1.36358,1.35489,1.35931
2021-01-08 16:00:00,1.35917,1.3598,1.35439,1.35636
2021-01-08 20:00:00,1.35636,1.35695,1.35533,1.35656
2021-01-10 20:00:00,1.334395,1.35679,1.33435,1.35191
2021-01-11 00:00:00,1.35191,1.35293,1.34974,1.3506
2021-01-11 04:00:00,1.35062,1.35131,1.34832,1.34866
2021-01-11 08:00:00,1.34886,1.35156,1.34847,1.34852
2021-01-11 12:00:00,1.34857,1.34949,1.34522,1.34869
2021-01-11 16:00:00,1.34869,1.3535,1.34793,1.35263
2021-01-11 20:00:00,1.35263,1.35279,1.33192,1.35236
2021-01-12 00:00:00,1.35243,1.35305,1.35051,1.35221
2021-01-12 04:00:00,1.35212,1.35676,1.35157,1.35532
2021-01-12 08:00:00,1.35532,1.36057,1.35394,1.35873
2021-01-12 12:00:00,1.35871,1.36304,1.35804,1.36183
2021-01-12 16:00:00,1.3618,1.36672,1.36162,1.36639
2021-01-12 20:00:00,1.36633,1.367,1.33941,1.36675
2021-01-13 00:00:00,1.36677,1.388085,1.36677,1.36876
2021-01-13 04:00:00,1.36878,1.36998,1.36713,1.36812
2021-01-13 08:00:00,1.36794,1.36999,1.36537,1.36697
2021-01-13 12:00:00,1.36698,1.36935,1.36349,1.36366
2021-01-13 16:00:00,1.3637,1.36521,1.36132,1.36308
2021-01-13 20:00:00,1.36301,1.36506,1.33805,1.36477
2021-01-14 00:00:00,1.36474,1.36553,1.36167,1.36377
2021-01-14 04:00:00,1.36373,1.36582,1.36284,1.36552
2021-01-14 08:00:00,1.36566,1.36796,1.36345,1.36484
2021-01-14 12:00:00,1.36485,1.36829,1.36213,1.36824
2021-01-14 16:00:00,1.36778,1.37093,1.36693,1.36823
2021-01-14 20:00:00,1.36818,1.37017,1.36811,1.36831
