date,ticker,close,high,low,open
2021-04-04 00:00:00+00:00,gbpusd,1.38305,1.38322,1.38177,1.382615
2021-04-05 00:00:00+00:00,gbpusd,1.39127,1.39155,1.38132,1.38304
2021-04-06 00:00:00+00:00,gbpusd,1.38303,1.39188,1.38021,1.39125
2021-04-07 00:00:00+00:00,gbpusd,1.37417,1.38401,1.37246,1.38304
2021-04-08 00:00:00+00:00,gbpusd,1.37337,1.37826,1.37186,1.37416
2021-04-09 00:00:00+00:00,gbpusd,1.3708,1.37508,1.36704,1.37338
2021-04-11 00:00:00+00:00,gbpusd,1.37077,1.37156,1.37011,1.37105
2021-04-12 00:00:00+00:00,gbpusd,1.37538,1.37769,1.36693,1.37076
2021-04-13 00:00:00+00:00,gbpusd,1.37592,1.3769,1.36945,1.37537
2021-04-14 00:00:00+00:00,gbpusd,1.37781,1.38087,1.375,1.37593
2021-04-15 00:00:00+00:00,gbpusd,1.37836,1.3809,1.37616,1.37779
2021-04-16 00:00:00+00:00,gbpusd,1.38358,1.38457,1.37161,1.37835
2021-04-18 00:00:00+00:00,gbpusd,1.38177,1.38375,1.38174,1.38345
2021-04-19 00:00:00+00:00,gbpusd,1.39916,1.3993,1.38099,1.38178
2021-04-20 00:00:00+00:00,gbpusd,1.3938,1.40093,1.39264,1.39917
2021-04-21 00:00:00+00:00,gbpusd,1.39313,1.39498,1.38857,1.39381
2021-04-22 00:00:00+00:00,gbpusd,1.3839,1.39497,1.38237,1.39312
2021-04-23 00:00:00+00:00,gbpusd,1.38784,1.38955,1.38358,1.38389
2021-04-25 00:00:00+00:00,gbpusd,1.3865,1.38813,1.38647,1.38759
2021-04-26 00:00:00+00:00,gbpusd,1.38949,1.39295,1.38651,1.38651
2021-04-27 00:00:00+00:00,gbpusd,1.3903,1.39241,1.38588,1.38948
2021-04-28 00:00:00+00:00,gbpusd,1.39544,1.39565,1.38611,1.39031
2021-04-29 00:00:00+00:00,gbpusd,1.39503,1.39767,1.39323,1.39545
2021-04-30 00:00:00+00:00,gbpusd,1.38172,1.39585,1.38034,1.39504
2021-05-02 00:00:00+00:00,gbpusd,1.38188,1.38228,1.38117,1.38148
2021-05-03 00:00:00+00:00,gbpusd,1.39032,1.39319,1.3801,1.38189
2021-05-04 00:00:00+00:00,gbpusd,1.38875,1.39054,1.38386,1.39031
2021-05-05 00:00:00+00:00,gbpusd,1.3909,1.39265,1.38764,1.38876
2021-05-06 00:00:00+00:00,gbpusd,1.38956,1.39407,1.38583,1.39089
2021-05-07 00:00:00+00:00,gbpusd,1.39961,1.40058,1.38903,1.38955
2021-05-09 00:00:00+00:00,gbpusd,1.40406,1.40445,1.39972,1.40055
2021-05-10 00:00:00+00:00,gbpusd,1.41308,1.41585,1.40152,1.40404
2021-05-11 00:00:00+00:00,gbpusd,1.41356,1.41667,1.41043,1.41309
2021-05-12 00:00:00+00:00,gbpusd,1.40624,1.41425,1.40579,1.41355
2021-05-13 00:00:00+00:00,gbpusd,1.40463,1.40782,1.40057,1.40625
2021-05-14 00:00:00+00:00,gbpusd,1.41009,1.41102,1.40363,1.40464
2021-05-16 00:00:00+00:00,gbpusd,1.41011,1.41046,1.40953,1.41006
2021-05-17 00:00:00+00:00,gbpusd,1.4148,1.4148,1.40773,1.4101
2021-05-18 00:00:00+00:00,gbpusd,1.41875,1.42204,1.41457,1.41478
2021-05-19 00:00:00+00:00,gbpusd,1.41073,1.42011,1.40995,1.41876
2021-05-20 00:00:00+00:00,gbpusd,1.41848,1.41943,1.41014,1.41072
2021-05-21 00:00:00+00:00,gbpusd,1.41534,1.4234,1.41407,1.41849
2021-05-23 00:00:00+00:00,gbpusd,1.41402,1.41623,1.41393,1.41584
2021-05-24 00:00:00+00:00,gbpusd,1.41554,1.41719,1.41116,1.41403
2021-05-25 00:00:00+00:00,gbpusd,1.41428,1.4211,1.41157,1.41553
2021-05-26 00:00:00+00:00,gbpusd,1.41154,1.41761,1.41124,1.41429
2021-05-27 00:00:00+00:00,gbpusd,1.42033,1.42192,1.40918,1.41152
2021-05-28 00:00:00+00:00,gbpusd,1.41872,1.4206,1.41364,1.42032
2021-05-30 00:00:00+00:00,gbpusd,1.41796,1.41941,1.41795,1.41858
2021-05-31 00:00:00+00:00,gbpusd,1.41836,1.42007,1.4164,1.41795
2021-06-01 00:00:00+00:00,gbpusd,1.41556,1.4247,1.41457,1.42425
2021-06-02 00:00:00+00:00,gbpusd,1.41712,1.41834,1.41118,1.41557
2021-06-03 00:00:00+00:00,gbpusd,1.41081,1.42032,1.40867,1.41711
2021-06-04 00:00:00+00:00,gbpusd,1.41584,1.42004,1.40835,1.41082
2021-06-07 00:00:00+00:00,gbpusd,1.41757,1.41911,1.41114,1.41417
2021-06-08 00:00:00+00:00,gbpusd,1.41493,1.41846,1.41211,1.41758
2021-06-09 00:00:00+00:00,gbpusd,1.41113,1.41891,1.41101,1.41492
2021-06-10 00:00:00+00:00,gbpusd,1.41705,1.41783,1.40734,1.41112
2021-06-11 00:00:00+00:00,gbpusd,1.41108,1.41854,1.40959,1.41706
2021-06-13 00:00:00+00:00,gbpusd,1.41176,1.41192,1.41051,1.4108
2021-06-14 00:00:00+00:00,gbpusd,1.41097,1.4124,1.40704,1.41177
2021-06-15 00:00:00+00:00,gbpusd,1.4081,1.4129,1.40344,1.41098
2021-06-16 00:00:00+00:00,gbpusd,1.39892,1.41328,1.39827,1.40809
2021-06-17 00:00:00+00:00,gbpusd,1.39381,1.40088,1.3896,1.39891
2021-06-18 00:00:00+00:00,gbpusd,1.38031,1.39447,1.37923,1.3938
2021-06-20 00:00:00+00:00,gbpusd,1.38166,1.38235,1.37964,1.38101
2021-06-21 00:00:00+00:00,gbpusd,1.39245,1.39371,1.37867,1.38167
2021-06-22 00:00:00+00:00,gbpusd,1.39495,1.39637,1.38604,1.39244
2021-06-23 00:00:00+00:00,gbpusd,1.3967,1.40015,1.3924,1.39494
2021-06-24 00:00:00+00:00,gbpusd,1.39163,1.39867,1.38898,1.39669
2021-06-25 00:00:00+00:00,gbpusd,1.38857,1.39356,1.38715,1.39162
2021-06-27 00:00:00+00:00,gbpusd,1.38933,1.38963,1.38787,1.38938
2021-06-28 00:00:00+00:00,gbpusd,1.38787,1.39398,1.3871,1.38934
2021-06-29 00:00:00+00:00,gbpusd,1.38404,1.38808,1.38144,1.38786
2021-06-30 00:00:00+00:00,gbpusd,1.38286,1.38731,1.37987,1.38403
2021-07-01 00:00:00+00:00,gbpusd,1.37592,1.38343,1.37519,1.38287
2021-07-02 00:00:00+00:00,gbpusd,1.38299,1.38447,1.37341,1.37591
