date,ticker,close,high,low,open
2021-04-04 21:00:00+00:00,gbpusd,1.38286,1.38288,1.38247,1.382615
2021-04-04 21:15:00+00:00,gbpusd,1.38251,1.3829,1.38238,1.38287
2021-04-04 21:30:00+00:00,gbpusd,1.38258,1.3827,1.38245,1.38245
2021-04-04 21:45:00+00:00,gbpusd,1.38258,1.38265,1.3824,1.38265
2021-04-04 22:00:00+00:00,gbpusd,1.3827,1.38322,1.38191,1.38267
2021-04-04 22:15:00+00:00,gbpusd,1.38268,1.38285,1.38234,1.3827
2021-04-04 22:30:00+00:00,gbpusd,1.38249,1.38268,1.38202,1.38267
2021-04-04 22:45:00+00:00,gbpusd,1.38236,1.38264,1.38232,1.3825
2021-04-04 23:00:00+00:00,gbpusd,1.38218,1.38236,1.38177,1.38232
2021-04-04 23:15:00+00:00,gbpusd,1.38227,1.38239,1.38197,1.38217
2021-04-04 23:30:00+00:00,gbpusd,1.38244,1.38254,1.38223,1.38225
2021-04-04 23:45:00+00:00,gbpusd,1.38305,1.38319,1.38237,1.38243
2021-04-05 00:00:00+00:00,gbpusd,1.38236,1.38304,1.38227,1.38304
2021-04-05 00:15:00+00:00,gbpusd,1.382685,1.38276,1.38224,1.38237
2021-04-05 00:30:00+00:00,gbpusd,1.38296,1.38302,1.38239,1.38269
2021-04-05 00:45:00+00:00,gbpusd,1.38294,1.38358,1.38263,1.38295
2021-04-05 01:00:00+00:00,gbpusd,1.38279,1.38312,1.38277,1.38292
2021-04-05 01:15:00+00:00,gbpusd,1.38337,1.38343,1.38278,1.38278
2021-04-05 01:30:00+00:00,gbpusd,1.38369,1.38369,1.38318,1.38336
2021-04-05 01:45:00+00:00,gbpusd,1.38402,1.38429,1.38354,1.38367
2021-04-05 02:00:00+00:00,gbpusd,1.38382,1.38417,1.38372,1.38402
2021-04-05 02:15:00+00:00,gbpusd,1.3838,1.38398,1.38357,1.38382
2021-04-05 02:30:00+00:00,gbpusd,1.38358,1.3838,1.38344,1.38379
2021-04-05 02:45:00+00:00,gbpusd,1.38355,1.38368,1.38331,1.38357
2021-04-05 03:00:00+00:00,gbpusd,1.38362,1.38367,1.38332,1.38356
2021-04-05 03:15:00+00:00,gbpusd,1.38387,1.38399,1.38347,1.38362
2021-04-05 03:30:00+00:00,gbpusd,1.38364,1.38396,1.3835,1.38386
2021-04-05 03:45:00+00:00,gbpusd,1.38368,1.38369,1.38343,1.38363
2021-04-05 04:00:00+00:00,gbpusd,1.38333,1.38378,1.3833,1.38367
2021-04-05 04:15:00+00:00,gbpusd,1.38305,1.38332,1.38292,1.38332
2021-04-05 04:30:00+00:00,gbpusd,1.38297,1.38318,1.38285,1.38304
2021-04-05 04:45:00+00:00,gbpusd,1.38275,1.38309,1.38267,1.38296
2021-04-05 05:00:00+00:00,gbpusd,1.38284,1.3829,1.38264,1.38274
2021-04-05 05:15:00+00:00,gbpusd,1.38287,1.38288,1.38265,1.38283
2021-04-05 05:30:00+00:00,gbpusd,1.38247,1.38287,1.38232,1.38286
2021-04-05 05:45:00+00:00,gbpusd,1.38201,1.38266,1.38181,1.38246
2021-04-05 06:00:00+00:00,gbpusd,1.38189,1.38219,1.38132,1.38202
2021-04-05 06:15:00+00:00,gbpusd,1.38249,1.38303,1.38183,1.3819
2021-04-05 06:30:00+00:00,gbpusd,1.38327,1.3833,1.38238,1.38248
2021-04-05 06:45:00+00:00,gbpusd,1.38323,1.38342,1.38273,1.38326
2021-04-05 07:00:00+00:00,gbpusd,1.38327,1.38362,1.38208,1.38324
2021-04-05 07:15:00+00:00,gbpusd,1.38355,1.38356,1.38288,1.38326
2021-04-05 07:30:00+00:00,gbpusd,1.38388,1.384,1.38348,1.38356
2021-04-05 07:45:00+00:00,gbpusd,1.38383,1.38404,1.3834,1.38389
2021-04-05 08:00:00+00:00,gbpusd,1.38571,1.38587,1.38369,1.38382
2021-04-05 08:15:00+00:00,gbpusd,1.38618,1.38648,1.38568,1.3857
2021-04-05 08:30:00+00:00,gbpusd,1.38628,1.38689,1.38585,1.38619
2021-04-05 08:45:00+00:00,gbpusd,1.38619,1.38637,1.38586,1.38629
2021-04-05 09:00:00+00:00,gbpusd,1.38612,1.38647,1.38576,1.3862
2021-04-05 09:15:00+00:00,gbpusd,1.38548,1.38625,1.38546,1.38613
2021-04-05 09:30:00+00:00,gbpusd,1.38576,1.38582,1.38545,1.38549
2021-04-05 09:45:00+00:00,gbpusd,1.38558,1.38596,1.38545,1.38577
2021-04-05 10:00:00+00:00,gbpusd,1.38556,1.38566,1.38537,1.38559
2021-04-05 10:15:00+00:00,gbpusd,1.38624,1.38626,1.38557,1.38557
2021-04-05 10:30:00+00:00,gbpusd,1.38607,1.38629,1.38586,1.38625
2021-04-05 10:45:00+00:00,gbpusd,1.38642,1.38648,1.38597,1.38608
2021-04-05 11:00:00+00:00,gbpusd,1.38665,1.38667,1.38638,1.38643
2021-04-05 11:15:00+00:00,gbpusd,1.38685,1.38713,1.38655,1.38666
2021-04-05 11:30:00+00:00,gbpusd,1.3866,1.38702,1.3864,1.38686
2021-04-05 11:45:00+00:00,gbpusd,1.38639,1.38673,1.38618,1.38661
2021-04-05 12:00:00+00:00,gbpusd,1.38668,1.38671,1.38626,1.38641
2021-04-05 12:15:00+00:00,gbpusd,1.38637,1.38696,1.38637,1.38667
2021-04-05 12:30:00+00:00,gbpusd,1.38736,1.38752,1.3863,1.38638
2021-04-05 12:45:00+00:00,gbpusd,1.3877,1.38803,1.38725,1.38735
2021-04-05 13:00:00+00:00,gbpusd,1.38768,1.38807,1.38737,1.38771
2021-04-05 13:15:00+00:00,gbpusd,1.38821,1.38837,1.3875,1.38767
2021-04-05 13:30:00+00:00,gbpusd,1.38864,1.38876,1.38822,1.38822
2021-04-05 13:45:00+00:00,gbpusd,1.38957,1.39014,1.38863,1.38865
2021-04-05 14:00:00+00:00,gbpusd,1.38976,1.39037,1.38955,1.38956
2021-04-05 14:15:00+00:00,gbpusd,1.3902,1.39022,1.38957,1.38977
2021-04-05 14:30:00+00:00,gbpusd,1.38962,1.39052,1.38923,1.39021
2021-04-05 14:45:00+00:00,gbpusd,1.38942,1.39007,1.3893,1.38963
2021-04-05 15:00:00+00:00,gbpusd,1.38996,1.39035,1.38899,1.38943
2021-04-05 15:15:00+00:00,gbpusd,1.39074,1.39137,1.38995,1.38997
2021-04-05 15:30:00+00:00,gbpusd,1.39033,1.39086,1.39031,1.39073
2021-04-05 15:45:00+00:00,gbpusd,1.39064,1.39066,1.39014,1.39034
2021-04-05 16:00:00+00:00,gbpusd,1.39,1.39071,1.38997,1.39063
2021-04-05 16:15:00+00:00,gbpusd,1.39043,1.39045,1.38983,1.38999
2021-04-05 16:30:00+00:00,gbpusd,1.39026,1.3905,1.39023,1.39044
2021-04-05 16:45:00+00:00,gbpusd,1.39023,1.39046,1.39006,1.39027
2021-04-05 17:00:00+00:00,gbpusd,1.39015,1.39033,1.38995,1.39024
2021-04-05 17:15:00+00:00,gbpusd,1.39066,1.39076,1.39016,1.39016
2021-04-05 17:30:00+00:00,gbpusd,1.39074,1.39075,1.39044,1.39065
2021-04-05 17:45:00+00:00,gbpusd,1.39048,1.39075,1.39044,1.39073
2021-04-05 18:00:00+00:00,gbpusd,1.39054,1.3907,1.39046,1.39047
2021-04-05 18:15:00+00:00,gbpusd,1.39046,1.39065,1.39013,1.39053
2021-04-05 18:30:00+00:00,gbpusd,1.39042,1.39058,1.39022,1.39047
2021-04-05 18:45:00+00:00,gbpusd,1.39045,1.39048,1.39015,1.39043
2021-04-05 19:00:00+00:00,gbpusd,1.39034,1.39054,1.39024,1.39044
2021-04-05 19:15:00+00:00,gbpusd,1.39012,1.39045,1.39009,1.39035
2021-04-05 19:30:00+00:00,gbpusd,1.39054,1.39056,1.39,1.39013
2021-04-05 19:45:00+00:00,gbpusd,1.39051,1.39074,1.39044,1.39051
2021-04-05 20:00:00+00:00,gbpusd,1.39034,1.39064,1.39033,1.39052
2021-04-05 20:15:00+00:00,gbpusd,1.3905,1.39075,1.39034,1.39035
2021-04-05 20:30:00+00:00,gbpusd,1.3905,1.39057,1.39046,1.39051
2021-04-05 20:45:00+00:00,gbpusd,1.39026,1.39056,1.39015,1.39051
2021-04-05 21:00:00+00:00,gbpusd,1.39003,1.39039,1.38987,1.39011
2021-04-05 21:15:00+00:00,gbpusd,1.39022,1.39066,1.38998,1.38998
2021-04-05 21:30:00+00:00,gbpusd,1.39043,1.3908,1.39026,1.39026
2021-04-05 21:45:00+00:00,gbpusd,1.39089,1.39112,1.39039,1.39044
2021-04-05 22:00:00+00:00,gbpusd,1.39105,1.3912,1.39062,1.39087
2021-04-05 22:15:00+00:00,gbpusd,1.39097,1.39104,1.39083,1.39104
2021-04-05 22:30:00+00:00,gbpusd,1.39115,1.39117,1.39076,1.39096
2021-04-05 22:45:00+00:00,gbpusd,1.39126,1.39155,1.39115,1.39116
2021-04-05 23:00:00+00:00,gbpusd,1.39126,1.39146,1.39117,1.39127
2021-04-05 23:15:00+00:00,gbpusd,1.39142,1.39146,1.39122,1.39127
2021-04-05 23:30:00+00:00,gbpusd,1.39114,1.39152,1.39106,1.39143
2021-04-05 23:45:00+00:00,gbpusd,1.39127,1.39138,1.39097,1.39115
2021-04-06 00:00:00+00:00,gbpusd,1.39098,1.39147,1.39085,1.39125
2021-04-06 00:15:00+00:00,gbpusd,1.39081,1.39099,1.39059,1.39099
2021-04-06 00:30:00+00:00,gbpusd,1.39021,1.39086,1.39014,1.3908
2021-04-06 00:45:00+00:00,gbpusd,1.39035,1.3905,1.39019,1.3902
2021-04-06 01:00:00+00:00,gbpusd,1.39037,1.39082,1.39026,1.39034
2021-04-06 01:15:00+00:00,gbpusd,1.39031,1.39059,1.39019,1.39036
2021-04-06 01:30:00+00:00,gbpusd,1.39018,1.39047,1.39002,1.39029
2021-04-06 01:45:00+00:00,gbpusd,1.39007,1.39038,1.38988,1.39017
2021-04-06 02:00:00+00:00,gbpusd,1.38997,1.39023,1.38989,1.39008
2021-04-06 02:15:00+00:00,gbpusd,1.38923,1.39005,1.38916,1.38996
2021-04-06 02:30:00+00:00,gbpusd,1.38918,1.38943,1.38911,1.38922
2021-04-06 02:45:00+00:00,gbpusd,1.38936,1.38964,1.38907,1.38917
2021-04-06 03:00:00+00:00,gbpusd,1.3896,1.38969,1.38898,1.38935
2021-04-06 03:15:00+00:00,gbpusd,1.38929,1.38967,1.38917,1.38959
2021-04-06 03:30:00+00:00,gbpusd,1.38915,1.38935,1.38908,1.38928
2021-04-06 03:45:00+00:00,gbpusd,1.3893,1.38944,1.38904,1.38914
2021-04-06 04:00:00+00:00,gbpusd,1.38941,1.38956,1.38919,1.38929
2021-04-06 04:15:00+00:00,gbpusd,1.39009,1.39018,1.38939,1.38942
2021-04-06 04:30:00+00:00,gbpusd,1.39078,1.39078,1.39006,1.39008
2021-04-06 04:45:00+00:00,gbpusd,1.3906,1.39078,1.39039,1.39077
2021-04-06 05:00:00+00:00,gbpusd,1.39078,1.39097,1.39047,1.39059
2021-04-06 05:15:00+00:00,gbpusd,1.39126,1.39129,1.39078,1.39079
2021-04-06 05:30:00+00:00,gbpusd,1.39128,1.39138,1.39105,1.39125
2021-04-06 05:45:00+00:00,gbpusd,1.39158,1.39188,1.39122,1.39127
2021-04-06 06:00:00+00:00,gbpusd,1.39153,1.39183,1.39106,1.39157
2021-04-06 06:15:00+00:00,gbpusd,1.39087,1.39168,1.3908,1.39152
2021-04-06 06:30:00+00:00,gbpusd,1.38967,1.39088,1.38965,1.39088
2021-04-06 06:45:00+00:00,gbpusd,1.38868,1.38968,1.3882,1.38968
2021-04-06 07:00:00+00:00,gbpusd,1.38709,1.38868,1.38693,1.38867
2021-04-06 07:15:00+00:00,gbpusd,1.3876,1.38806,1.38687,1.3871
2021-04-06 07:30:00+00:00,gbpusd,1.38804,1.38826,1.38749,1.38761
2021-04-06 07:45:00+00:00,gbpusd,1.38803,1.38829,1.38726,1.38805
2021-04-06 08:00:00+00:00,gbpusd,1.38644,1.38804,1.3863,1.38804
2021-04-06 08:15:00+00:00,gbpusd,1.38531,1.38643,1.38514,1.38643
2021-04-06 08:30:00+00:00,gbpusd,1.38414,1.38602,1.38391,1.3853
2021-04-06 08:45:00+00:00,gbpusd,1.38543,1.3858,1.38402,1.38415
2021-04-06 09:00:00+00:00,gbpusd,1.38568,1.3858,1.38469,1.38544
2021-04-06 09:15:00+00:00,gbpusd,1.38317,1.3859,1.38297,1.38567
2021-04-06 09:30:00+00:00,gbpusd,1.38274,1.38349,1.38224,1.38316
2021-04-06 09:45:00+00:00,gbpusd,1.38305,1.3838,1.38265,1.38273
2021-04-06 10:00:00+00:00,gbpusd,1.38352,1.384,1.38257,1.38304
2021-04-06 10:15:00+00:00,gbpusd,1.38336,1.38369,1.3828,1.38353
2021-04-06 10:30:00+00:00,gbpusd,1.38383,1.3839,1.38292,1.38335
2021-04-06 10:45:00+00:00,gbpusd,1.38331,1.3839,1.38293,1.38382
2021-04-06 11:00:00+00:00,gbpusd,1.38281,1.38372,1.38271,1.38332
2021-04-06 11:15:00+00:00,gbpusd,1.38334,1.38371,1.38256,1.3828
2021-04-06 11:30:00+00:00,gbpusd,1.38286,1.38333,1.38278,1.38333
2021-04-06 11:45:00+00:00,gbpusd,1.38254,1.38285,1.38179,1.38285
2021-04-06 12:00:00+00:00,gbpusd,1.38387,1.38391,1.3823,1.38253
2021-04-06 12:15:00+00:00,gbpusd,1.38482,1.38491,1.38381,1.38386
2021-04-06 12:30:00+00:00,gbpusd,1.3851,1.38545,1.38431,1.38481
2021-04-06 12:45:00+00:00,gbpusd,1.38394,1.3854,1.38374,1.38509
2021-04-06 13:00:00+00:00,gbpusd,1.3832,1.38458,1.38254,1.38404
2021-04-06 13:15:00+00:00,gbpusd,1.38401,1.38423,1.38308,1.38319
2021-04-06 13:30:00+00:00,gbpusd,1.38571,1.38577,1.38399,1.38402
2021-04-06 13:45:00+00:00,gbpusd,1.38448,1.3859,1.3844,1.38573
2021-04-06 14:00:00+00:00,gbpusd,1.38431,1.38518,1.3839,1.38449
2021-04-06 14:15:00+00:00,gbpusd,1.38503,1.38558,1.38415,1.3843
2021-04-06 14:30:00+00:00,gbpusd,1.38496,1.38529,1.38425,1.38504
2021-04-06 14:45:00+00:00,gbpusd,1.386,1.38664,1.38487,1.38497
2021-04-06 15:00:00+00:00,gbpusd,1.38583,1.38599,1.3853,1.38599
2021-04-06 15:15:00+00:00,gbpusd,1.38499,1.38589,1.38488,1.38584
2021-04-06 15:30:00+00:00,gbpusd,1.3855,1.38561,1.38479,1.38498
2021-04-06 15:45:00+00:00,gbpusd,1.38483,1.38561,1.38479,1.38552
2021-04-06 16:00:00+00:00,gbpusd,1.38398,1.38496,1.38397,1.38482
2021-04-06 16:15:00+00:00,gbpusd,1.38388,1.38419,1.38341,1.38399
2021-04-06 16:30:00+00:00,gbpusd,1.38238,1.38391,1.38236,1.38389
2021-04-06 16:45:00+00:00,gbpusd,1.38219,1.38282,1.38197,1.38239
2021-04-06 17:00:00+00:00,gbpusd,1.3818,1.38244,1.38096,1.38218
2021-04-06 17:15:00+00:00,gbpusd,1.3808,1.38188,1.3805,1.38179
2021-04-06 17:30:00+00:00,gbpusd,1.38117,1.38129,1.38021,1.38079
2021-04-06 17:45:00+00:00,gbpusd,1.38161,1.38185,1.38102,1.38116
2021-04-06 18:00:00+00:00,gbpusd,1.38207,1.38221,1.38129,1.3816
2021-04-06 18:15:00+00:00,gbpusd,1.38189,1.38239,1.38189,1.38206
2021-04-06 18:30:00+00:00,gbpusd,1.38236,1.3824,1.38181,1.3819
2021-04-06 18:45:00+00:00,gbpusd,1.38231,1.38273,1.38212,1.38237
2021-04-06 19:00:00+00:00,gbpusd,1.38272,1.38282,1.38225,1.38232
2021-04-06 19:15:00+00:00,gbpusd,1.38261,1.38279,1.38232,1.38271
2021-04-06 19:30:00+00:00,gbpusd,1.38251,1.38271,1.38249,1.3826
2021-04-06 19:45:00+00:00,gbpusd,1.38299,1.38313,1.3824,1.3825
2021-04-06 20:00:00+00:00,gbpusd,1.38306,1.38336,1.38279,1.383
2021-04-06 20:15:00+00:00,gbpusd,1.38319,1.38328,1.38301,1.38305
2021-04-06 20:30:00+00:00,gbpusd,1.38334,1.38343,1.38308,1.38318
2021-04-06 20:45:00+00:00,gbpusd,1.38243,1.38334,1.38238,1.38333
2021-04-06 21:00:00+00:00,gbpusd,1.38236,1.38246,1.38212,1.38234
2021-04-06 21:15:00+00:00,gbpusd,1.38245,1.38255,1.38218,1.38226
2021-04-06 21:30:00+00:00,gbpusd,1.38222,1.38246,1.38217,1.38244
2021-04-06 21:45:00+00:00,gbpusd,1.38237,1.38242,1.38215,1.38221
