date,ticker,close,high,low,open
2021-04-04 21:00:00+00:00,usdjpy,110.6625,110.6775,110.6485,110.6645
2021-04-04 21:15:00+00:00,usdjpy,110.6665,110.677,110.6615,110.6615
2021-04-04 21:30:00+00:00,usdjpy,110.6775,110.6805,110.665,110.6675
2021-04-04 21:45:00+00:00,usdjpy,110.6795,110.6825,110.6715,110.673
2021-04-04 22:00:00+00:00,usdjpy,110.6395,110.6815,110.619,110.6785
2021-04-04 22:15:00+00:00,usdjpy,110.6855,110.6965,110.6365,110.6385
2021-04-04 22:30:00+00:00,usdjpy,110.6805,110.6945,110.6575,110.685
2021-04-04 22:45:00+00:00,usdjpy,110.7205,110.7205,110.6705,110.68
2021-04-04 23:00:00+00:00,usdjpy,110.7125,110.7265,110.7015,110.7195
2021-04-04 23:15:00+00:00,usdjpy,110.7225,110.7505,110.7065,110.7115
2021-04-04 23:30:00+00:00,usdjpy,110.6865,110.7225,110.6835,110.722
2021-04-04 23:45:00+00:00,usdjpy,110.6805,110.6965,110.666,110.686
2021-04-05 00:00:00+00:00,usdjpy,110.6855,110.7225,110.6725,110.6815
2021-04-05 00:15:00+00:00,usdjpy,110.6585,110.7055,110.6355,110.685
2021-04-05 00:30:00+00:00,usdjpy,110.6555,110.6935,110.6435,110.659
2021-04-05 00:45:00+00:00,usdjpy,110.623,110.673,110.588,110.656
2021-04-05 01:00:00+00:00,usdjpy,110.5865,110.632,110.5815,110.6225
2021-04-05 01:15:00+00:00,usdjpy,110.56,110.5995,110.5445,110.5875
2021-04-05 01:30:00+00:00,usdjpy,110.5755,110.5845,110.5535,110.559
2021-04-05 01:45:00+00:00,usdjpy,110.5935,110.5955,110.556,110.575
2021-04-05 02:00:00+00:00,usdjpy,110.5775,110.598,110.5755,110.5945
2021-04-05 02:15:00+00:00,usdjpy,110.583,110.5955,110.568,110.578
2021-04-05 02:30:00+00:00,usdjpy,110.5785,110.5985,110.5765,110.5825
2021-04-05 02:45:00+00:00,usdjpy,110.5695,110.5845,110.5675,110.5795
2021-04-05 03:00:00+00:00,usdjpy,110.5725,110.5885,110.5625,110.57
2021-04-05 03:15:00+00:00,usdjpy,110.5315,110.5735,110.5255,110.5735
2021-04-05 03:30:00+00:00,usdjpy,110.5445,110.5535,110.532,110.532
2021-04-05 03:45:00+00:00,usdjpy,110.5555,110.5555,110.544,110.545
2021-04-05 04:00:00+00:00,usdjpy,110.5855,110.5925,110.5545,110.5545
2021-04-05 04:15:00+00:00,usdjpy,110.6065,110.6115,110.5795,110.5865
2021-04-05 04:30:00+00:00,usdjpy,110.6135,110.6215,110.607,110.607
2021-04-05 04:45:00+00:00,usdjpy,110.6505,110.6525,110.6145,110.6145
2021-04-05 05:00:00+00:00,usdjpy,110.6455,110.661,110.6365,110.65
2021-04-05 05:15:00+00:00,usdjpy,110.6245,110.6495,110.624,110.6465
2021-04-05 05:30:00+00:00,usdjpy,110.6485,110.6495,110.6225,110.625
2021-04-05 05:45:00+00:00,usdjpy,110.6735,110.6805,110.6325,110.649
2021-04-05 06:00:00+00:00,usdjpy,110.6745,110.6865,110.6695,110.6745
2021-04-05 06:15:00+00:00,usdjpy,110.6665,110.677,110.6535,110.6755
2021-04-05 06:30:00+00:00,usdjpy,110.6455,110.6675,110.644,110.666
2021-04-05 06:45:00+00:00,usdjpy,110.6305,110.6595,110.6245,110.6465
2021-04-05 07:00:00+00:00,usdjpy,110.656,110.6585,110.6245,110.6315
2021-04-05 07:15:00+00:00,usdjpy,110.6265,110.656,110.624,110.6555
2021-04-05 07:30:00+00:00,usdjpy,110.647,110.6505,110.622,110.626
2021-04-05 07:45:00+00:00,usdjpy,110.6345,110.6635,110.6315,110.6465
2021-04-05 08:00:00+00:00,usdjpy,110.5845,110.6405,110.5575,110.6355
2021-04-05 08:15:00+00:00,usdjpy,110.5705,110.6025,110.565,110.5855
2021-04-05 08:30:00+00:00,usdjpy,110.5935,110.6105,110.567,110.57
2021-04-05 08:45:00+00:00,usdjpy,110.6045,110.6225,110.5925,110.594
2021-04-05 09:00:00+00:00,usdjpy,110.5965,110.6115,110.5915,110.605
2021-04-05 09:15:00+00:00,usdjpy,110.6215,110.6225,110.5955,110.596
2021-04-05 09:30:00+00:00,usdjpy,110.606,110.628,110.6055,110.6225
2021-04-05 09:45:00+00:00,usdjpy,110.6105,110.6185,110.5985,110.6055
2021-04-05 10:00:00+00:00,usdjpy,110.5975,110.6195,110.5925,110.61
2021-04-05 10:15:00+00:00,usdjpy,110.5775,110.601,110.568,110.5965
2021-04-05 10:30:00+00:00,usdjpy,110.5885,110.595,110.5725,110.578
2021-04-05 10:45:00+00:00,usdjpy,110.5695,110.5935,110.5675,110.588
2021-04-05 11:00:00+00:00,usdjpy,110.5165,110.57,110.5155,110.57
2021-04-05 11:15:00+00:00,usdjpy,110.531,110.541,110.5125,110.516
2021-04-05 11:30:00+00:00,usdjpy,110.4815,110.5335,110.4755,110.5315
2021-04-05 11:45:00+00:00,usdjpy,110.4955,110.5025,110.4525,110.4805
2021-04-05 12:00:00+00:00,usdjpy,110.5035,110.5265,110.4905,110.496
2021-04-05 12:15:00+00:00,usdjpy,110.4995,110.5315,110.4835,110.503
2021-04-05 12:30:00+00:00,usdjpy,110.4535,110.5085,110.4195,110.5
2021-04-05 12:45:00+00:00,usdjpy,110.4805,110.485,110.4385,110.4545
2021-04-05 13:00:00+00:00,usdjpy,110.445,110.4875,110.4365,110.481
2021-04-05 13:15:00+00:00,usdjpy,110.4375,110.458,110.4185,110.4455
2021-04-05 13:30:00+00:00,usdjpy,110.4035,110.4375,110.3865,110.4365
2021-04-05 13:45:00+00:00,usdjpy,110.2615,110.403,110.256,110.403
2021-04-05 14:00:00+00:00,usdjpy,110.0915,110.2835,110.0135,110.261
2021-04-05 14:15:00+00:00,usdjpy,110.0065,110.0955,110.0065,110.0905
2021-04-05 14:30:00+00:00,usdjpy,110.0695,110.083,109.9635,110.006
2021-04-05 14:45:00+00:00,usdjpy,110.129,110.1405,110.0375,110.069
2021-04-05 15:00:00+00:00,usdjpy,110.1595,110.1685,110.1185,110.1295
2021-04-05 15:15:00+00:00,usdjpy,110.1205,110.1645,110.0815,110.1605
2021-04-05 15:30:00+00:00,usdjpy,110.0905,110.1225,110.0585,110.1215
2021-04-05 15:45:00+00:00,usdjpy,110.0845,110.112,110.0655,110.091
2021-04-05 16:00:00+00:00,usdjpy,110.1225,110.1265,110.0825,110.085
2021-04-05 16:15:00+00:00,usdjpy,110.098,110.125,110.0975,110.123
2021-04-05 16:30:00+00:00,usdjpy,110.1045,110.113,110.0915,110.0985
2021-04-05 16:45:00+00:00,usdjpy,110.0965,110.1045,110.0825,110.1035
2021-04-05 17:00:00+00:00,usdjpy,110.1135,110.1235,110.097,110.097
2021-04-05 17:15:00+00:00,usdjpy,110.0865,110.1155,110.0855,110.114
2021-04-05 17:30:00+00:00,usdjpy,110.1175,110.1375,110.0825,110.087
2021-04-05 17:45:00+00:00,usdjpy,110.1275,110.1385,110.1175,110.118
2021-04-05 18:00:00+00:00,usdjpy,110.153,110.1555,110.1255,110.127
2021-04-05 18:15:00+00:00,usdjpy,110.1775,110.1865,110.1515,110.1525
2021-04-05 18:30:00+00:00,usdjpy,110.1745,110.1855,110.1625,110.177
2021-04-05 18:45:00+00:00,usdjpy,110.1715,110.1835,110.1555,110.174
2021-04-05 19:00:00+00:00,usdjpy,110.2325,110.2345,110.1615,110.172
2021-04-05 19:15:00+00:00,usdjpy,110.2345,110.2515,110.228,110.232
2021-04-05 19:30:00+00:00,usdjpy,110.2205,110.24,110.2125,110.234
2021-04-05 19:45:00+00:00,usdjpy,110.1835,110.2255,110.1835,110.2215
2021-04-05 20:00:00+00:00,usdjpy,110.2135,110.2175,110.1805,110.183
